History, Who was the leader of the Soviet Union during World War II?,Joseph Stalin
History, Who was the first president of the United States?,George Washington
Miscellaneous, What is the highest mountain peak in the solar system?,Olympus Mons on Mars
Miscellaneous, What is the smallest country by land area in the world?,Vatican City
Tech, Who invented the World Wide Web?,Sir Tim Berners-Lee
Music, Who is considered the "King of Pop"?,Michael Jackson
Music, Who composed the opera "The Barber of Seville"?,Gioachino Rossini
History, When did the American Revolutionary War begin?,1775
History, Who was the first queen regnant of England?,Mary 1
History, What was the name of the first permanent English settlement in America?,Jamestown
Miscellaneous, What is the largest planet in our solar system?,Jupiter
Miscellaneous, What is the chemical symbol for gold?,Au
Tech, Who is considered the "father of the internet"?,Vint Cerf
Tech, What is the name of the first computer virus?,Creeper
Music, Who wrote the opera "Madame Butterfly"?,Giacomo Puccini
Music, Who is the lead singer of the band "Queen"?,Freddie Mercury
Music, What is the title of the best-selling album of all time?,Thriller
History, Who was the last king of France?,Louis XVI
History, Who wrote the Declaration of Independence?,Thomas Jefferson
History, What was the name of the ancient Egyptian capital?,Thebes
Miscellaneous, What is the largest mammal on earth?,Blue whale
Miscellaneous, What is the capital of Canada?,Ottawa
Tech, Who developed the programming language Python?,Guido van Rossum
Tech, What is the name of the first commercially available computer?,UNIVAC 1
Music, Who composed the opera "Aida"?,Giuseppe Verdi
Music, Who was the lead singer of the band "The Beatles"?,John Lennon
Tech, What is the name of the world's first computer program,Ada
Tech, What is the name of the first successful microprocessor,Intel 4004
Tech, What is the name of the world's first mass-produced personal computer,Apple I
Tech, What is the name of the first widely-used programming language,Fortran
Tech, What is the name of the first commercially-available computer game,Tennis for Two
Tech, What is the name of the first widely-used search engine,Archie
Tech, What is the name of the first widely-used instant messaging service,ICQ
Tech, What is the name of the first widely-used social media website,Six Degrees
Tech, What is the name of the first widely-used mobile operating system,Symbian