History, Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev
History, Who wrote the Communist Manifesto?,Karl Marx
Miscellaneous, What is the name of the largest desert in the world?,The Antarctic Desert
Miscellaneous, What is the capital of Brazil?,Brasília
Tech, Who is the founder of Tesla Motors?,Elon Musk
Tech, What is the name of the programming language developed by Google for mobile app development?,Kotlin
Music, Who composed the opera "Tosca"?,Giacomo Puccini
Music, Who is the singer of the song "I Will Always Love You"?,Whitney Houston
History, Who was the leader of the Soviet Union during the Korean War?,Joseph Stalin
History, Who was the leader of the Chinese Nationalists during the Chinese Civil War?,Chiang Kai-shek
Miscellaneous, What is the name of the largest volcano on Earth?,Mauna Loa
Miscellaneous, What is the capital of Mexico?,Mexico City
Tech, Who developed the programming language C++?,Bjarne Stroustrup
Tech, What is the name of the first personal computer?,Apple 1
Music, Who composed the opera "La Traviata"?,Giuseppe Verdi
Music, Who is the singer of the song "Billie Jean"?,Michael Jackson
History, Who was the leader of the Soviet Union during the Cold War?,Joseph Stalin
History, Who was the leader of Nazi Germany during World War II?,Adolf Hitler
Miscellaneous, What is the largest ocean on Earth?,Pacific Ocean
Miscellaneous, What is the capital of Australia?,Canberra
Tech, Who is the founder of Facebook?,Mark Zuckerberg
Tech, What is the name of the popular social media platform owned by Twitter?,Vine
Music, Who wrote the opera "The Magic Flute"?,Wolfgang Amadeus Mozart
Music, Who is the lead singer of the band "The Beatles"?,John Lennon